seed_id,source_dataset,source_corpus,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S3751,mlm_tapt,2015_skal0_WEB,SKA1-MID shall provide 45 dB spectral dynamic range at auto-correlation spatial and 300 kHz spectral resolution to enable sensitive intensity mapping at 350  1050 MHz (HPSO 32).,provide 45 dB spectral dynamic range at auto-correlation spatial and 300 kHz spectral resolution to enable sensitive intensity mapping at 350  1050 MHz (HPSO 32),yes,,yes,,provide 45 dB spectral dynamic range at auto-correlation spatial and 300 kHz spectral resolution to enable sensitive intensity mapping at 350  1050 MHz (HPSO 32)
S3970,mlm_tapt,2012_stequest_mrd_web,SOC shall be responsible for the science data archive.,be responsible for the science data archive,yes,,yes,,be responsible for the science data archive
S3978,mlm_tapt,2012_marcopolo_WEB,"All spacecraft shall be designed according to [RD4], [RD5], [RD6] and [RD7] unless otherwise specified in this document.","be designed according to [RD4], [RD5], [RD6] and [RD7] unless otherwise specified in this document",yes,,yes,,"be designed according to [RD4], [RD5], [RD6] and [RD7] unless otherwise specified in this document"
S3986,mlm_tapt,1998_grace_WEB,The SDS shall process all science data collected by the GRACE satellites,process all science data collected by the GRACE satellites,yes,,yes,,process all science data collected by the GRACE satellites
S4746,mlm_tapt,2011_dot_WEB,The Misbehavior Management Subsystem shall store information regarding misbehavior reports from other Core System subsystems.,store information regarding misbehavior reports from other Core System subsystems,yes,,yes,,store information regarding misbehavior reports from other Core System subsystems
S4766,mlm_tapt,2012_marcopolo_WEB,"The telecommunication system shall be capable of simultaneously handling telemetry, ranging and telecommands.","be capable of simultaneously handling telemetry, ranging and telecommands",yes,,yes,,"simultaneously handle telemetry, ranging, and telecommands"
S4859,mlm_tapt,2015_skal0_WEB,SKA1-LOW shall provide 45 dB polarisation dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1).,provide 45 dB polarisation dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1),yes,,yes,,provide 45 dB polarisation dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1)
S5119,mlm_tapt,2018_jpss_l0_web,The algorithm shall produce a cloud top temperature product with a mapping uncertainty (3 sigma) of 4 km.,produce a cloud top temperature product with a mapping uncertainty (3 sigma) of 4 km,yes,,yes,,produce a cloud top temperature product with a mapping uncertainty (3 sigma) of 4 km
S5229,mlm_tapt,2019_gateway_WEB,The Gateway shall provide a reconfigurable mobile video camera system for inspection and internal robotic operations support.,provide a reconfigurable mobile video camera system for inspection and internal robotic operations support,yes,,yes,,provide a reconfigurable mobile video camera system for inspection and internal robotic operations support
S5314,mlm_tapt,2012_marcopolo_WEB,The ground segment shall support the on-orbit calibration of the satellite autonomous pointing capabilities.,support the on-orbit calibration of the satellite autonomous pointing capabilities,yes,,yes,,support the on-orbit calibration of the satellite autonomous pointing capabilities
S5326,mlm_tapt,2011_dot_WEB,The Misbehavior Management Subsystem shall process up to [TBD] misbehavior reports per minute from System Users.,process up to [TBD] misbehavior reports per minute from System Users,yes,,yes,,process up to [TBD] misbehavior reports per minute from System Users
S5542,mlm_tapt,0000_mss_WEB,The EO head drive system shall provide conducting observation in all directions at any height above the roof of the vehicle,provide conducting observation in all directions at any height above the roof of the vehicle,yes,,yes,,provide conducting observation in all directions at any height above the roof of the vehicle
S5811,mlm_tapt,2019_jpss_dps,The Snow Cover/Depth product shall provide snow depth with a measurement range from 5 to 60 cm.,provide snow depth with a measurement range from 5 to 60 cm,yes,,yes,,provide snow depth with a measurement range from 5 to 60 cm
S5986,mlm_tapt,2021_tmt_ord_WEB,The TMT Observatory shall provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC).,provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC),yes,,yes,,provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC)
S6169,mlm_tapt,2006_hgs_ird_web,The HSC shall pull spacecraft attitude algorithm and data updates from the MOC.,pull spacecraft attitude algorithm and data updates from the MOC,yes,,yes,,pull spacecraft attitude algorithm and data updates from the MOC
S6347,mlm_tapt,2019_jpss_l2_WEB,"The NESDIS ESPC shall make available all products identified in Appendix A as ""ESPC Product Generation"" to CLASS.","make available all products identified in Appendix A as ""ESPC Product Generation"" to CLASS",yes,,yes,,"make available all products identified in Appendix A as ""ESPC Product Generation"" to CLASS"
S6400,mlm_tapt,2021_gmt_oad_web,The lower enclosure shall provide space for a utility shaft.,provide space for a utility shaft,yes,,yes,,provide space for a utility shaft
S6449,mlm_tapt,2019_jpss_dps,The Snowfall Rate (SFR) product shall provide water equivalent snowfall amount in unit time globally.,provide water equivalent snowfall amount in unit time globally,yes,,yes,,provide water equivalent snowfall amount in unit time globally
S6555,mlm_tapt,2019_jpss_dps,"The Snow Cover product shall provide snow cover globally, in daytime and night, under all weather","provide snow cover globally, in daytime and night, under all weather",yes,,yes,,"provide snow cover globally, in daytime and night, under all weather"
S6633,mlm_tapt,2015_skal0_WEB,SKA1-LOW shall provide 50 dB spectral dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1).,provide 50 dB spectral dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1),yes,,yes,,provide 50 dB spectral dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1)
S6822,mlm_tapt,2013_echo_srd_WEB,More than 50 (TBC) of the planets observed in the Chemical Census tier should be observed in the Origin tier.,be observed in the Origin tier,yes,,yes,,observe more than 50 of the planets observed in the Chemical Census tier in the Origin tier
S7050,mlm_tapt,2004_hp_srs_web,"Fatigue analysis shall be carried out where relevant, and demonstrate a positive reserve after application of 4 times the most constraining life cycles.","be carried out where relevant, and demonstrate a positive reserve after application of 4 times the most constraining life cycles",yes,,yes,,carry out fatigue analysis where relevant and demonstrate a positive reserve after applying 4 times the most constraining life cycles
S7344,mlm_tapt,0000_mss_WEB,There shall be possibility to power the equipment set from vehicles alternator.,be possibility to power the equipment set from vehicles alternator,no,residual_modal_in_capability,yes,,allow the equipment set to be powered from the vehicle's alternator
S7372,mlm_tapt,2019_jpss_l1rds_web,Performance impact assessments of proposed configuration changes to the data product ground processing software shall be completed and documented prior to those changes being implemented in the operational baseline.,be completed and documented prior to those changes being implemented in the operational baseline,yes,,yes,,complete and document performance impact assessments of proposed configuration changes to the data product ground processing software prior to implementing those changes in the operational baseline
S7564,mlm_tapt,2015_due_web,The GBPS retrieval shall include a L-band module capable to derive growing stock volume from L-band SAR data,include a L-band module capable to derive growing stock volume from L-band SAR data,yes,,yes,,include an L-band module that derives growing stock volume from L-band SAR data
S7643,mlm_tapt,2017_s45_mrtd_web,Measurements in the SWIR shall be made of the reflected solar radiance on the illuminated side of the Earths atmosphere.,be made of the reflected solar radiance on the illuminated side of the Earths atmosphere,yes,,yes,,make measurements in the SWIR of the reflected solar radiance on the illuminated side of the Earth's atmosphere
S7816,mlm_tapt,2011_marcopolo_srd_WEB,"It shall be possible to calibrate the colour response of the instruments, by providing a calibration target (if mission analysis foresees a lunar flyby, allow imaging of Apollo 16 landing site).","be possible to calibrate the colour response of the instruments, by providing a calibration target (if mission analysis foresees a lunar flyby, allow imaging of Apollo 16 landing site)",yes,,yes,,"enable calibration of the colour response of the instruments by providing a calibration target and, if mission analysis foresees a lunar flyby, allow imaging of the Apollo 16 landing site"
S8583,mlm_tapt,2006_hgs_ird_web,The HSC shall make available to the ICC@ICC the instrument memory images of their respective instruments received from the MOC.,make available to the ICC@ICC the instrument memory images of their respective instruments received from the MOC,yes,,yes,,make available to the ICC@ICC the instrument memory images of their respective instruments received from the MOC
S9005,mlm_tapt,2005_skal1_WEB,The total steady state power budget for the African site shall be within the limits specified in SKA Power Budget SKA- SE-POW-TN-001 [21].,be within the limits specified in SKA Power Budget SKA- SE-POW-TN-001 [21],yes,,yes,,keep the total steady-state power budget for the African site within the limits specified in SKA Power Budget SKA-SE-POW-TN-001 [21]
S9361,mlm_tapt,2021_tmt_oad_WEB,NFIRAOS Subsystem shall be designed to be upgradeable to a higher order AO system [REQ-1-OAD-2745] that interfaces to a wider-field near infra-red science instruments.,be designed to be upgradeable to a higher order AO system [REQ-1-OAD-2745] that interfaces to a wider-field near infra-red science instruments,yes,,yes,,be designed to be upgradeable to a higher order AO system [REQ-1-OAD-2745] that interfaces to a wider-field near infra-red science instruments
S9539,mlm_tapt,2013_loft_mrd_web,The S/C shall support interruption of the mission timeline execution by ground command.,support interruption of the mission timeline execution by ground command,yes,,yes,,support interruption of the mission timeline execution by ground command
S9787,mlm_tapt,2005_skal1_WEB,"The SKA1_mid telescope shall be capable of operating in a Pulsar search mode, concurrently with Continuum imaging mode.","be capable of operating in a Pulsar search mode, concurrently with Continuum imaging mode",yes,,yes,,operate in a Pulsar search mode concurrently with Continuum imaging mode
S9848,mlm_tapt,2018_jpss_l0_web,The algorithm shall produce an ice age/thickness product that has a mapping uncertainty (3 sigma) of 1 km at Nadir for clear pixels.,produce an ice age/thickness product that has a mapping uncertainty (3 sigma) of 1 km at Nadir for clear pixels,yes,,yes,,produce an ice age/thickness product that has a mapping uncertainty (3 sigma) of 1 km at Nadir for clear pixels
S10111,mlm_tapt,2019_jpss_l2_WEB,The ESPC shall make available one complete set (primary set) of data products identified in Appendix A from the science data acquired from the JPSS GS.,make available one complete set (primary set) of data products identified in Appendix A from the science data acquired from the JPSS GS,yes,,yes,,make available one complete set (primary set) of data products identified in Appendix A from the science data acquired from the JPSS GS
S10194,mlm_tapt,2015_due_web,The GBPS retrieval module shall produce growing stock volume maps from multitemporal SAR data.,produce growing stock volume maps from multitemporal SAR data,yes,,yes,,produce growing stock volume maps from multitemporal SAR data
S10354,mlm_tapt,2007_trs_mrd_web,The routine ground station(s) shall be capable of commanding and controlling the spacecraft,be capable of commanding and controlling the spacecraft,yes,,yes,,provide routine ground station(s) for commanding and controlling the spacecraft
S10453,mlm_tapt,2021_tmt_srd_WEB,The observatory shall provide means for re-coating of the telescope optics to maintain throughput and minimize thermal emission.,provide means for re-coating of the telescope optics to maintain throughput and minimize thermal emission,yes,,yes,,provide means for re-coating of the telescope optics to maintain throughput and minimize thermal emission
S10565,mlm_tapt,2009_gg_WEB,"The satellite shall autonomously detect its status, basing on automatic self-check procedures and programmable decision tables.","autonomously detect its status, basing on automatic self-check procedures and programmable decision tables",yes,,yes,,"autonomously detect its status, basing on automatic self-check procedures and programmable decision tables"
S10580,mlm_tapt,2019_jpss_l2_WEB,The NESDIS ESPC outages in support of JPSS functions shall be less than 5 hours over a 30day period.,be less than 5 hours over a 30day period,yes,,yes,,limit NESDIS ESPC outages in support of JPSS functions to less than 5 hours over a 30-day period
S10837,mlm_tapt,2013_echo_srd_WEB,More than 20 (TBC) of the planets observed in the Chemical Census tier should be observed in the Rosetta Stone tier.,be observed in the Rosetta Stone tier,yes,,yes,,observe more than 20 of the planets observed in the Chemical Census tier in the Rosetta Stone tier
S10922,mlm_tapt,2009_gg_WEB,The spacecraft electrical power S/S shall provide sufficient power to the payload during all mission phases.,provide sufficient power to the payload during all mission phases,yes,,yes,,provide sufficient power to the payload during all mission phases
S10982,mlm_tapt,2011_dot_WEB,The Network Services Subsystem shall report data detection misbehavior to the Misbehavior Management Subsystem.,report data detection misbehavior to the Misbehavior Management Subsystem,yes,,yes,,report data detection misbehavior to the Misbehavior Management Subsystem
S11067,mlm_tapt,2021_gmt_oad_web,The SSB shall provide a magnetron target room.,provide a magnetron target room,yes,,yes,,provide a magnetron target room
S12062,mlm_tapt,2013_loft_mrd_web,"After separation from the launcher, the S/C shall autonomously activate its TT&C system with at least one Tx and Rx channel active to enable ground to establish contact.",autonomously activate its TT&C system with at least one Tx and Rx channel active to enable ground to establish contact,yes,,yes,,autonomously activate its TT&C system with at least one Tx and Rx channel active to enable ground to establish contact
S12261,mlm_tapt,2011_dot_WEB,The Time Subsystem shall send time to all Core System subsystems every 100ms [TBD].,send time to all Core System subsystems every 100ms [TBD],yes,,yes,,send time to all Core System subsystems every 100ms [TBD]
S12433,mlm_tapt,1998_grace_WEB,Both GRACE satellites shall be launched as a dual payload on a single launch vehicle.,be launched as a dual payload on a single launch vehicle,yes,,yes,,be launched as a dual payload on a single launch vehicle
S12465,mlm_tapt,2018_jpss_l0_web,The algorithm shall produce an ozone limb profile product that has a vertical reporting interval of 1 km.,produce an ozone limb profile product that has a vertical reporting interval of 1 km,yes,,yes,,produce an ozone limb profile product that has a vertical reporting interval of 1 km
S12688,mlm_tapt,2012_marcopolo_WEB,The DHS system shall be compatible with the maximum data rates of each instrument as specified in [RD16].,be compatible with the maximum data rates of each instrument as specified in [RD16],yes,,yes,,be compatible with the maximum data rates of each instrument as specified in [RD16]
S13143,mlm_tapt,2011_marcopolo_srd_WEB,Complete images obtained with the Star Trackers and navigation camera (if any) should be made available to scientists upon request.,be made available to scientists upon request,yes,,yes,,make complete images obtained with the Star Trackers and navigation camera (if any) available to scientists upon request
S13213,mlm_tapt,2018_jpss_l0_web,The algorithm shall produce a soil moisture product under all-weather conditions.,produce a soil moisture product under all-weather conditions,yes,,yes,,produce a soil moisture product under all-weather conditions
S13852,mlm_tapt,2015_due_web,The GBPS shall support stability of the processing chain for re- processing and its continuous extension in order to support consistency of the output dataset.,support stability of the processing chain for re- processing and its continuous extension in order to support consistency of the output dataset,yes,,yes,,support stability of the processing chain for re- processing and its continuous extension in order to support consistency of the output dataset
S13965,mlm_tapt,2021_gmt_oad_web,The GMT Observatory shall provide equipment and establish procedures for in-telescope CO2 cleaning of the M2 reflective surfaces.,provide equipment and establish procedures for in-telescope CO2 cleaning of the M2 reflective surfaces,yes,,yes,,provide equipment and establish procedures for in-telescope CO2 cleaning of the M2 reflective surfaces
S14239,mlm_tapt,2005_wise_mos_WEB,The MOS shall as a goal develop and maintain validated command products for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements.,as a goal develop and maintain validated command products for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements,yes,,yes,,develop and maintain validated command products for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements
S14382,mlm_tapt,2021_tmt_oad_WEB,OSA software subsystems shall use Graphical user interfaces (GUIs) as the default for all normal scientific and technical operations.,use Graphical user interfaces (GUIs) as the default for all normal scientific and technical operations,yes,,yes,,use Graphical user interfaces (GUIs) as the default for all normal scientific and technical operations
S14407,mlm_tapt,2021_tmt_srd_WEB,The NFIRAOS unvignetted field of view shall be at least 2 arcmin diameter.,be at least 2 arcmin diameter,yes,,yes,,provide an NFIRAOS unvignetted field of view with a diameter of at least 2 arcmin
S14422,mlm_tapt,2004_hp_srs_web,The initial design shall ensure that sufficient (including spare) pins are available for all foreseeable subsystem and experiment functions.,ensure that sufficient (including spare) pins are available for all foreseeable subsystem and experiment functions,yes,,yes,,ensure that sufficient (including spare) pins are available for all foreseeable subsystem and experiment functions
S14432,mlm_tapt,2013_echo_srd_WEB,More than 25 (TBC) of the planets observed in the Chemical Census tier shall be observed in the Origin tier.,be observed in the Origin tier,yes,,yes,,observe more than 25 of the planets observed in the Chemical Census tier in the Origin tier
S14589,mlm_tapt,2012_stequest_mrd_web,Link budget calculation for downlink shall be based on a maximum FER of 1E-7 at decoder output.,be based on a maximum FER of 1E-7 at decoder output,yes,,yes,,base downlink link-budget calculation on a maximum FER of 1E-7 at decoder output
S14614,mlm_tapt,2019_jpss_dps,The Atmospheric Vertical Moisture Profile product shall provide atmospheric vertical moisture profiles with a horizontal cell size of 50 kilometers at nadir.,provide atmospheric vertical moisture profiles with a horizontal cell size of 50 kilometers at nadir,yes,,yes,,provide atmospheric vertical moisture profiles with a horizontal cell size of 50 kilometers at nadir
S14662,mlm_tapt,2021_gmt_ord_web,The GMT shall provide protection from lightning.,provide protection from lightning,yes,,yes,,provide protection from lightning
S14831,mlm_tapt,2021_gmt_oad_web,"The M2 Positioner shall compensate for the smaller, differential motions of the M2 segments.","compensate for the smaller, differential motions of the M2 segments",yes,,yes,,"compensate for the smaller, differential motions of the M2 segments"
S15350,mlm_tapt,2008_earthcare_web,The LEOP shall start at switchover from ground-supplied power to the space segment internal batteries.,start at switchover from ground-supplied power to the space segment internal batteries,yes,,yes,,start LEOP at switchover from ground-supplied power to the space segment internal batteries
S15399,mlm_tapt,2016_teser_web,IF-SC shall withstand mechanical loads in all mission phases as defined in [AD2],withstand mechanical loads in all mission phases as defined in [AD2],yes,,yes,,withstand mechanical loads in all mission phases as defined in [AD2]
S15412,mlm_tapt,2011_marcopolo_srd_WEB,"The inner structure of the NEA should be constrained, with the goal of doing this to a depth of about 100 m and a spatial resolution of about 10 m.","be constrained, with the goal of doing this to a depth of about 100 m and a spatial resolution of about 10 m",yes,,yes,,constrain the inner structure of the NEA to about 100 m depth and about 10 m spatial resolution
S15447,mlm_tapt,2021_tmt_ord_WEB,The observatory shall be designed to support the following duty cycle over its 50-year lifespan.,be designed to support the following duty cycle over its 50-year lifespan,yes,,yes,,be designed to support the following duty cycle over its 50-year lifespan
S15458,mlm_tapt,2011_marcopolo_srd_WEB,"During the complete manufacturing process of the spacecraft, procedures shall be in place to keep all parts of the spacecraft clean to a level to be specified.",be in place to keep all parts of the spacecraft clean to a level to be specified,yes,,yes,,have procedures in place during the complete spacecraft manufacturing process to keep all parts of the spacecraft clean
S15528,mlm_tapt,2019_jpss_l2_WEB,The ESPC shall transition full operations between the COOP and primary facilities in less than 12 hours.,transition full operations between the COOP and primary facilities in less than 12 hours,yes,,yes,,transition full operations between the COOP and primary facilities in less than 12 hours
S15663,mlm_tapt,2021_tmt_srd_WEB,The IRIS imager shall have a field of view greater than 30 x 30 arcsec.,have a field of view greater than 30 x 30 arcsec,yes,,yes,,have a field of view greater than 30 x 30 arcsec
S15746,mlm_tapt,0000_mss_WEB,The radio terminal must provide IP packet data transmission.,provide IP packet data transmission,yes,,yes,,provide IP packet data transmission
S15847,mlm_tapt,2015_due_web,The GBPS shall provide means to ensure the quality of its outputs.,provide means to ensure the quality of its outputs,yes,,yes,,provide means to ensure the quality of its outputs
S16300,mlm_tapt,0000_mss_WEB,Suitable Car antennas must be provided.,be provided,yes,,yes,,provide suitable car antennas
S16356,mlm_tapt,2012_d51_web,The system shall automatically detect new ancillary data associated with recognised primary satellite data where such ancillary data is as defined by the DARD.,automatically detect new ancillary data associated with recognised primary satellite data where such ancillary data is as defined by the DARD,yes,,yes,,automatically detect new ancillary data associated with recognised primary satellite data where such ancillary data is as defined by the DARD
S16894,mlm_tapt,2005_skal1_WEB,"Each Element supplier shall provide a list of hazardous materials used for all items intended for use in the SKA1 detailing suggested handling precautions, disposal instructions and contra- indications.","provide a list of hazardous materials used for all items intended for use in the SKA1 detailing suggested handling precautions, disposal instructions and contra- indications",yes,,yes,,"provide a list of hazardous materials used for all items intended for use in the SKA1 detailing suggested handling precautions, disposal instructions and contra- indications"
S16962,mlm_tapt,0000_mss_WEB,The display simultaneously must present text and icons to show the status of the radio.,present text and icons to show the status of the radio,yes,,yes,,simultaneously present text and icons to show the status of the radio
S17172,mlm_tapt,2004_hp_srs_web,The initial design for Primary Structures shall be subject to Longitudinal loads of 5 G and Lateral loads of 3 G .,be subject to Longitudinal loads of 5 G and Lateral loads of 3 G,yes,,yes,,provide an initial design for Primary Structures subject to Longitudinal loads of 5 G and Lateral loads of 3 G
S17602,mlm_tapt,2015_skal0_WEB,SKA1-LOW shall provide the capability to change observing modes within less than 5 seconds.,provide the capability to change observing modes within less than 5 seconds,yes,,yes,,provide the capability to change observing modes within less than 5 seconds
S17637,mlm_tapt,2019_jpss_l1rds_web,The JPSS shall support modifications to ESPC blended products.,support modifications to ESPC blended products,yes,,yes,,support modifications to ESPC blended products
S17747,mlm_tapt,2007_trs_mrd_web,"The down-link of recorded science data, housekeeping, and localization/synchronization data shall be started upon ground segment command only (TBC)",be started upon ground segment command only (TBC),yes,,yes,,"start the down-link of recorded science data, housekeeping, and localization/synchronization data only upon ground segment command"
S17873,mlm_tapt,2015_due_web,The GBPS shall provide means to do quality checks and manual inspection of intermediate results during processing.,provide means to do quality checks and manual inspection of intermediate results during processing,yes,,yes,,provide means to do quality checks and manual inspection of intermediate results during processing
S18830,mlm_tapt,2012_marcopolo_WEB,The spacecraft shall satisfy the electric and magnetic cleanliness (EMC) requirements specified by the payload (TBD reference).,satisfy the electric and magnetic cleanliness (EMC) requirements specified by the payload (TBD reference),yes,,yes,,satisfy the electric and magnetic cleanliness (EMC) requirements specified by the payload (TBD reference)
S18887,mlm_tapt,2008_earthcare_web,The minimum Particulate Cleanliness Level for BBR optical components shall be maintained at 50mm2/m2.,be maintained at 50mm2/m2,yes,,yes,,maintain the minimum Particulate Cleanliness Level for BBR optical components at 50 mm2/m2
S18963,mlm_tapt,2021_gmt_oad_web,The GMT Interlock and Safety System shall store all status information in the Engineering Archive.,store all status information in the Engineering Archive,yes,,yes,,store all status information in the Engineering Archive
S19306,mlm_tapt,2019_jpss_dps,The Global Surface Type product shall be updated once per year.,be updated once per year,yes,,yes,,update the Global Surface Type product once per year
S19561,mlm_tapt,2007_jwst_mrd_web,The DSN antenna diameter shall be 34 meters as specified in the JWST Flight Observatory to Ground Segment IRCD (JWST-IRCD-000696).,be 34 meters as specified in the JWST Flight Observatory to Ground Segment IRCD (JWST-IRCD-000696),yes,,yes,,use a DSN antenna with a diameter of 34 meters as specified in the JWST Flight Observatory to Ground Segment IRCD (JWST-IRCD-000696)
S19566,mlm_tapt,2021_gmt_oad_web,The GMT networks shall implement a Quality of Service protocol that prioritizes operation-critical network traffic between the summit and remote sites.,implement a Quality of Service protocol that prioritizes operation-critical network traffic between the summit and remote sites,yes,,yes,,implement a Quality of Service protocol that prioritizes operation-critical network traffic between the summit and remote sites
S19657,mlm_tapt,2012_stequest_mrd_web,The position of ground clocks shall allow comparisons with the STE-defined in R-SPM-030.,allow comparisons with the STE-defined in R-SPM-030,yes,,yes,,position ground clocks to allow comparisons with the STE as defined in R-SPM-030
S19834,mlm_tapt,2021_tmt_ord_WEB,The TMT Observatory in Visitor and Service Observing Modes shall implement a Target of Opportunity Observation process.,implement a Target of Opportunity Observation process,yes,,yes,,implement a Target of Opportunity Observation process in Visitor and Service Observing Modes
S19995,mlm_tapt,2017_s45_mrtd_web,The IPSF in all channels in the UVN shall be sufficiently broad to allow spatially contiguous observations (exact formulation TBD).,be sufficiently broad to allow spatially contiguous observations (exact formulation TBD),yes,,yes,,ensure the IPSF in all channels in the UVN is sufficiently broad to allow spatially contiguous observations
S20227,mlm_tapt,2015_skal0_WEB,"SKA1-MID shall provide (search, timing, archive and VLBI) non-imaging observation modes.","provide (search, timing, archive and VLBI) non-imaging observation modes",yes,,yes,,"provide (search, timing, archive and VLBI) non-imaging observation modes"
S20667,mlm_tapt,2012_d51_web,The SICCI system shall functionally treat the provision of ECV data products to parties outside of the SICCI system commonly for both SIT and SIC.,functionally treat the provision of ECV data products to parties outside of the SICCI system commonly for both SIT and SIC,yes,,yes,,functionally treat the provision of ECV data products to parties outside of the SICCI system commonly for both SIT and SIC
S20754,mlm_tapt,2021_tmt_srd_WEB,The site shall have minimal day-night temperature variations.,have minimal day-night temperature variations,yes,,yes,,use a site with minimal day-night temperature variations
S21381,mlm_tapt,2021_jpss2_web,"The Virtual Channel Frame Count field shall contain a sequential binary count (modulo-16,777,216) of each Transfer Frame transmitted within a specific Virtual Channel.","contain a sequential binary count (modulo-16,777,216) of each Transfer Frame transmitted within a specific Virtual Channel",yes,,yes,,"include a Virtual Channel Frame Count field containing a sequential binary count (modulo-16,777,216) of each Transfer Frame transmitted within a specific Virtual Channel"
S21385,mlm_tapt,2015_due_web,There shall be an operational procedure to perform the necessary validation and other steps to perform the transfer to operations.,be an operational procedure to perform the necessary validation and other steps to perform the transfer to operations,yes,,yes,,provide an operational procedure to perform the necessary validation and other steps to perform the transfer to operations
S21517,mlm_tapt,2017_s45_mrtd_web,Level-0 data shall be available in real time to local users during overpass.,be available in real time to local users during overpass,yes,,yes,,make Level-0 data available in real time to local users during overpass
S21589,mlm_tapt,2011_marcopolo_srd_WEB,"If the mission scenario foresees any planetary flyby, it shall be possible to switch on all payload elements for testing.",be possible to switch on all payload elements for testing,yes,,yes,,enable switching on all payload elements for testing if the mission scenario includes any planetary flyby
