seed_id,source_dataset,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0047,NICE,'The product shall retain user preferences in the event of a failure.',retain user preferences in the event of a failure,yes,,yes,,retain user preferences in the event of a failure
S0049,NICE,'The product shall be able to support multiple remote users',support multiple remote users,yes,,yes,,support multiple remote users
S0050,NICE,'The product shall be able support 1000 simultaneous users.',be able support 1000 simultaneous users,yes,,yes,,support 1000 simultaneous users
S0054,NICE,'The product is expected to run on Windows CE and Palm operating systems.',run on Windows CE and Palm operating systems,yes,,yes,,run on Windows CE and Palm operating systems
S0055,NICE,'Only registered realtors shall be able to access the system.',access the system,yes,,yes,,allow only registered realtors to access the system
S0056,NICE,'Every user of the system shall be authenticated and authorized.',be authenticated and authorized,yes,,yes,,authenticate and authorize every system user
S0057,NICE,'The product shall prevent its data from incorrect data being introduced.',prevent its data from incorrect data being introduced,yes,,yes,,prevent incorrect data from being introduced into product data
S0058,NICE,'The system shall allow a real estate agent to query MLS information',allow a real estate agent to query MLS information,yes,,yes,,allow a real estate agent to query MLS information
S0059,NICE,'The user shall be able to get driving directions to a selected property',get driving directions to a selected property,yes,,yes,,provide users with driving directions to a selected property
S0060,NICE,'The user shall be able to download appointments and contact information for clients',download appointments and contact information for clients,yes,,yes,,allow users to download appointments and client contact information
S0061,NICE,'The system shall display clear property images in the search results',display clear property images in the search results,yes,,yes,,display clear property images in the search results
S0062,NICE,'The system shall update or create new property listings in the MLS',update or create new property listings in the MLS,yes,,yes,,update or create new property listings in the MLS
S0063,NICE,'Realtor shall be able to generate a CMA report based on property criteria',generate a CMA report based on property criteria,yes,,yes,,allow realtors to generate CMA reports based on property criteria
S0064,NICE,'The system shall be able to call the seller or buyer to schedule an appointment',call the seller or buyer to schedule an appointment,yes,,yes,,call the seller or buyer to schedule an appointment
S0065,NICE,'The realtor shall be notified of new client appointments after automatic synchronization with office system',be notified of new client appointments after automatic synchronization with office system,yes,,yes,,notify realtors of new client appointments after automatic synchronization with the office system
S0066,NICE,'The realtor shall be able to retrieve a map showing property locations for a specified area',retrieve a map showing property locations for a specified area,yes,,yes,,allow realtors to retrieve maps showing property locations for a specified area
S0067,NICE,'The system shall notify the realtor when a seller or buyer responds to an appointment request',notify the realtor when a seller or buyer responds to an appointment request,yes,,yes,,notify the realtor when a seller or buyer responds to an appointment request
S0068,NICE,'The product shall allow the user to save the property search results.',allow the user to save the property search results,yes,,yes,,allow the user to save the property search results
S0069,NICE,'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',be easy to use by the Program Administrators/Nursing Staff Members,yes,,yes,,be easy to use by the Program Administrators/Nursing Staff Members
S0070,NICE,'All of the users shall be able to use the system after one day of training.',use the system after one day of training,yes,,yes,,be usable by all users after one day of training
S0071,NICE,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',help the user avoid making mistakes while scheduling classes and clinicals for the nursing students,yes,,yes,,help the user avoid making mistakes while scheduling classes and clinicals for the nursing students
S0073,NICE,'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',be intuitive to the Program Administrators/Nursing Staff Members,yes,,yes,,be intuitive to the Program Administrators/Nursing Staff Members
S0074,NICE,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',successfully be able to use the system to manage the scheduling of classes and clinicals,no,residual_modal_in_capability,yes,,enable 2 out of 3 Program Administrators/Nursing Staff Members to successfully manage scheduling of classes and clinicals
S0075,NICE,'The system shall use symbols and words that are naturally understandable by the user community.',use symbols and words that are naturally understandable by the user community,yes,,yes,,use symbols and words that are naturally understandable by the user community
S0076,NICE,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',be consistent with Standard English and the terminology of the national Nursing Community,yes,,yes,,use Standard English and national Nursing Community terminology consistently
S0077,NICE,'Staff members shall be able to complete a set of tasks in a timely manner.',complete a set of tasks in a timely manner,yes,,yes,,enable staff members to complete a set of tasks in a timely manner
S0079,NICE,'The system shall be available for use between the hours of 8am and 6pm.',be available for use between the hours of 8am and 6pm,yes,,yes,,be available for use between the hours of 8am and 6pm
S0081,NICE,'system shall be able to handle all of the user requests/usage during business hours.',handle all of the user requests/usage during business hours,yes,,yes,,handle all of the user requests/usage during business hours
S0082,NICE,'The system shall cater to 10 simultaneous users from 9am to 5pm.',cater to 10 simultaneous users from 9am to 5pm,yes,,yes,,cater to 10 simultaneous users from 9am to 5pm
S0084,NICE,'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.',be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years,yes,,yes,,manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years
S0085,NICE,'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',operate within a business office environment typical of the Nursing Department at DePaul University,yes,,yes,,operate within a business office environment typical of the Nursing Department at DePaul University
S0086,NICE,'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members,yes,,yes,,be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members
S0087,NICE,'The system shall operate within the Windows XP Professional operating system.',operate within the Windows XP Professional operating system,yes,,yes,,operate within the Windows XP Professional operating system
S0088,NICE,The system shall interface with CampusConnect's central server',interface with CampusConnect's central server,yes,,yes,,interface with CampusConnect's central server
S0089,NICE,'The system shall interface with the faculty central server.',interface with the faculty central server,yes,,yes,,interface with the faculty central server
S0090,NICE,'The system shall interface with the student master server.',interface with the student master server,yes,,yes,,interface with the student master server
S0091,NICE,'We must be able to interface with any HTML browser.',interface with any HTML browser,yes,,yes,,interface with any HTML browser
S0092,NICE,'Only authorized users shall have access to clinical site information.',have access to clinical site information,yes,,yes,,restrict access to clinical site information to authorized users
S0093,NICE,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',have access to clinical site details,yes,,yes,,restrict access to clinical site details to Program Administrators and Nursing Staff Members
S0094,NICE,Only authorized users shall have access to students' personal information.',have access to students' personal information,yes,,yes,,restrict access to students' personal information to authorized users
S0095,NICE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.',have access to students' personal information,yes,,yes,,restrict access to students' personal information to Dr Susan Poslusny and Dr Julie Donalek
S0096,NICE,'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',have access to the portion of the system that interfaces with CampusConnect,yes,,yes,,restrict access to the CampusConnect interface portion of the system to authorized users
S0097,NICE,'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect,no,residual_modal_in_capability,yes,,restrict access to final class section scheduling for the CampusConnect interface to Dr Susan Poslusny and Karen Sysol
S0098,NICE,'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,yes,,yes,,have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced
S0099,NICE,The system shall protect private information in accordance with the organization's information policy.',protect private information in accordance with the organization's information policy,yes,,yes,,protect private information in accordance with the organization's information policy
S0100,NICE,'The system shall be built such that it is as secure as possible from malicious interference.',be built such that it is as secure as possible from malicious interference,yes,,yes,,be built such that it is as secure as possible from malicious interference
S0101,NICE,The system shall use the organization's standard virus protection software to help monitor threats to itself.',use the organization's standard virus protection software to help monitor threats to itself,yes,,yes,,use the organization's standard virus protection software to help monitor threats to itself
S0102,NICE,'A cohort shall be associated to one Program of Study offered by the department.',be associated to one Program of Study offered by the department,yes,,yes,,associate each cohort with one Program of Study offered by the department
S0103,NICE,'Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.',add a listing of students to a cohort,yes,,yes,,allow Program Administrators and Nursing Staff Members to add student listings to cohorts
S0104,NICE,'Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort',add a single student to a cohort,yes,,yes,,allow Program Administrators and Nursing Staff Members to add single students to cohorts
S0105,NICE,Students added to a cohort shall be eligible for the cohort's Program of Study.',be eligible for the cohort's Program of Study,yes,,yes,,ensure students added to a cohort are eligible for the cohort Program of Study
S0106,NICE,'Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.',specify the preferred sequence of classes for a given cohort,yes,,yes,,allow Program Administrators and Nursing Staff Members to specify the preferred class sequence for a cohort
S0107,NICE,'For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',specify which quarter that class will be offered,no,residual_modal_in_capability,yes,,allow Program Administrators and Nursing Staff Members to specify the offering quarter for each class in a cohort sequence
S0108,NICE,'Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes',add new classes to a sequence of classes,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new classes to class sequences
S0111,NICE,'Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.',add new classes for the nursing department into the system,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new nursing department classes to the system
S0112,NICE,'A class shall be either a non-clinical class or a clinical class.',be either a non-clinical class or a clinical class,yes,,yes,,classify each class as either non-clinical or clinical
S0113,NICE,'A non-clinical class shall specify the course name lecture room requirements and instructor needs.',specify the course name lecture room requirements and instructor needs,yes,,yes,,capture course name lecture room requirements and instructor needs for non-clinical classes
S0114,NICE,'A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.',specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs,yes,,yes,,capture course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs for clinical classes
S0115,NICE,'Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.',create a new Program of Study,yes,,yes,,allow Program Administrators and Nursing Staff Members to create Programs of Study
S0117,NICE,'Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study',have the ability to specify which classes are required for a Program of Study,yes,,yes,,allow Program Administrators and Nursing Staff Members to specify required classes for a Program of Study
S0118,NICE,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.',display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes,yes,,yes,,display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes
S0121,NICE,'Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.',add a new clinical site into the system,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new clinical sites to the system
S0123,NICE,'Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.',add a new clinical lab section for an existing clinical class into the System,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new clinical lab sections for existing clinical classes
S0124,NICE,'A clinical lab section shall include the clinical site name the class instructor day and time of the lab.',include the clinical site name the class instructor day and time of the lab,yes,,yes,,include the clinical site name class instructor day and lab time for each clinical lab section
S0125,NICE,'Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.',add a student who has registered for a clinical class to a clinical lab section for that class,yes,,yes,,allow Program Administrators and Nursing Staff Members to add registered clinical-class students to clinical lab sections
S0126,NICE,'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section,yes,,yes,,allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section
S0127,NICE,'The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.',allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class,yes,,yes,,allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class
S0129,NICE,'A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.',add a new nursing student to the system,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new nursing students to the system
S0130,NICE,'A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.',have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes,yes,,yes,,allow staff members to manage part-time student progress by modifying class sequences and timelines
S0135,NICE,'The system shall be able to display a printable summary of the system log.',display a printable summary of the system log,yes,,yes,,display a printable summary of the system log
S0137,NICE,'The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.',use the stored e-mail addresses as a primary means of communicating information to affected parties,yes,,yes,,use the stored e-mail addresses as a primary means of communicating information to affected parties
S0143,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.',have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes,no,residual_modal_in_capability,yes,,allow Program Administrators and Nursing Staff Members to modify cohort information including identifier Program of Study preferred class sequence and class quarters
S0145,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.',have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address,yes,,yes,,allow Program Administrators and Nursing Staff Members to modify clinical site information including name contact person contact information and address
S0148,NICE,'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.',comply with the corporate standards for user interface creation for internally and externally used applications,yes,,yes,,comply with corporate user interface creation standards for internal and external applications
S0149,NICE,'All screens created as part of the Disputes application must comply with corporate standards for interface creation.',comply with corporate standards for interface creation,yes,,yes,,ensure all Disputes application screens comply with corporate interface creation standards
S0150,NICE,'The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.',be color coded for easy identification of dispute cases based upon the dispute case status,yes,,yes,,color-code dispute search results by dispute case status for easy identification
S0162,NICE,'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.',ensure that only users with the appropriate access level are allowed to initiate dispute requests,yes,,yes,,allow only users with the appropriate access level to initiate dispute requests
S0163,NICE,'Only users with Update access must be able to initiate dispute requests.',initiate dispute requests,yes,,yes,,allow only users with Update access to initiate dispute requests
S0164,NICE,'The Disputes application shall ensure that only authorized users are allowed to logon to the application.',ensure that only authorized users are allowed to logon to the application,yes,,yes,,allow only authorized users to log on to the application
S0165,NICE,'All authorized users once authenticated must be able to logon to the Disputes System',logon to the Disputes System,yes,,yes,,allow authenticated authorized users to log on to the Disputes System
S0167,NICE,All additions of new users and modifications to user's access shall be recorded on the User Report.',be recorded on the User Report,yes,,yes,,record new-user additions and user-access modifications on the User Report
S0168,NICE,'If a user account is revoked it can only be re-instantiated by the System Administrator.',only be re-instantiated by the System Administrator,yes,,yes,,allow only the System Administrator to reinstate revoked user accounts
S0169,NICE,'Only the System Administrator shall be able to reset a revoked user logon account',reset a revoked user logon account,yes,,yes,,allow only the System Administrator to reset revoked user logon accounts
S0171,NICE,'All updates to data files or database must be initiated from the Disputes System.',be initiated from the Disputes System,yes,,yes,,ensure all data file or database updates are initiated from the Disputes System
S0172,NICE,'The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.',conform to the legal requirements as specified by the Merchant Operating Regulations,yes,,yes,,conform to the legal requirements specified by the Merchant Operating Regulations
S0173,NICE,'All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.',be in compliance with the Merchant Operating Regulations,yes,,yes,,ensure Disputes System business rules comply with Merchant Operating Regulations
S0174,NICE,'The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.',conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing,yes,,yes,,conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing
S0175,NICE,'All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.',be in compliance to the guidelines of Regulation E and Regulation Z,yes,,yes,,keep all business rules specified in the Disputes System in compliance with the guidelines of Regulation E and Regulation Z
S0177,NICE,'All actions that modify an existing dispute case must be recorded in the case history.',be recorded in the case history,yes,,yes,,record all actions that modify an existing dispute case in the case history
S0178,NICE,'The Disputes System must be accessible by both internal and external users.',be accessible by both internal and external users,yes,,yes,,be accessible by both internal and external users
S0180,NICE,'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.',facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,yes,,yes,,facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users
S0181,NICE,'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.',provide different levels of access with regard to disputes case initiation and follow-up actions,yes,,yes,,provide different levels of access with regard to disputes case initiation and follow-up actions
S0182,NICE,'The Disputes System shall provide view access capability for authorized users of the application.',provide view access capability for authorized users of the application,yes,,yes,,provide view access capability for authorized users of the application
S0183,NICE,'The Disputes System shall provide update access capability for authorized users of the application.',provide update access capability for authorized users of the application,yes,,yes,,provide update access capability for authorized users of the application
S0185,NICE,'The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.',provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant,yes,,yes,,provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant
S0194,NICE,'The Disputes System must provide the ability to view existing dispute cases.',provide the ability to view existing dispute cases,yes,,yes,,provide the ability to view existing dispute cases
S0197,NICE,'The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.',provide the users the ability to view the history of all activities that have occurred on the dispute case,yes,,yes,,provide the users the ability to view the history of all activities that have occurred on the dispute case
S0201,NICE,'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',be formatted according to guidelines specified by the Print Letter Utility system,yes,,yes,,format all letter requests according to guidelines specified by the Print Letter Utility system
S0202,NICE,'Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.',be purged from the online disputes database,yes,,yes,,purge dispute cases that have been closed for over 6 months from the online disputes database
S0206,NICE,'The product shall run on the existing hardware for all environments.',run on the existing hardware for all environments,yes,,yes,,run on the existing hardware for all environments
S0207,NICE,'The product shall adhere to the corporate Architecture guidelines',adhere to the corporate Architecture guidelines,yes,,yes,,adhere to the corporate Architecture guidelines
S0208,NICE,'The product shall comply with corporate User Interface Guidelines',comply with corporate User Interface Guidelines,yes,,yes,,comply with corporate User Interface Guidelines
S0209,NICE,'The product shall comply with corporate color scheme',comply with corporate color scheme,yes,,yes,,comply with corporate color scheme
S0210,NICE,'The appearance of the product shall appear professional',appear professional,yes,,yes,,appear professional
S0223,NICE,'The average number of recycled parts records per day shall be 50 000.',be 50 000,yes,,yes,,support an average of 50 000 recycled parts records per day
S0224,NICE,'The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.',handle 10 000 concurrent users within 2 years of the initial launch,yes,,yes,,handle 10 000 concurrent users within 2 years of the initial launch
S0225,NICE,'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',be operated in a repair facility during dirty and noisy conditions,yes,,yes,,be operable by estimators in a repair facility during dirty and noisy conditions
S0226,NICE,'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.',interface with the ChoiceParts system once per day at approximately 1:00 AM,yes,,yes,,interface with the ChoiceParts system once per day at approximately 1:00 AM
S0227,NICE,'The maintenance of the product will fall within the established corporate maintenance windows.',fall within the established corporate maintenance windows,yes,,yes,,limit product maintenance to the established corporate maintenance windows
S0228,NICE,'The product shall be supported using the corporate support center.',be supported using the corporate support center,yes,,yes,,be supported using the corporate support center
S0229,NICE,'Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.',be handled by the middleware technology team within established launch time frames,yes,,yes,,have product installations and upgrades handled by the middleware technology team within established launch time frames
S0235,NICE,'The product shall free of computer viruses.',free of computer viruses,yes,,yes,,be free of computer viruses
S0236,NICE,'The system shall prevent malicious attacks including denial of service.',prevent malicious attacks including denial of service,yes,,yes,,prevent malicious attacks including denial of service
S0237,NICE,'The product must comply with Sarbanes-Oxley.',comply with Sarbanes-Oxley,yes,,yes,,comply with Sarbanes-Oxley
S0238,NICE,'The product shall comply with the estimatics laws relating to recycled parts usage.',comply with the estimatics laws relating to recycled parts usage,yes,,yes,,comply with the estimatics laws relating to recycled parts usage
S0239,NICE,'The product shall comply with insurance regulations regarding claims processing.',comply with insurance regulations regarding claims processing,yes,,yes,,comply with insurance regulations regarding claims processing
S0240,NICE,'The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles',search for the preferred repair facility using vehicle vehicle location and radius in miles,yes,,yes,,search for the preferred repair facility using vehicle vehicle location and radius in miles
S0241,NICE,'The vehicle data shall include vehicle year make and model',include vehicle year make and model,yes,,yes,,include vehicle year make and model
S0242,NICE,'The vehicle location shall include street address city state and zipcode',include street address city state and zipcode,yes,,yes,,include street address city state and zipcode
S0243,NICE,'The system shall resolve the zipcode for the street address city and state if zipcode is unknown.',resolve the zipcode for the street address city and state if zipcode is unknown,yes,,yes,,resolve the zipcode for the street address city and state if zipcode is unknown
S0244,NICE,'The search radius shall be between 1 and 30 miles',be between 1 and 30 miles,yes,,yes,,support a search radius between 1 and 30 miles
S0245,NICE,'The system shall locate the preferred repair facility with the highest ratings for the input criteria',locate the preferred repair facility with the highest ratings for the input criteria,yes,,yes,,locate the preferred repair facility with the highest ratings for the input criteria
S0246,NICE,'The adjuster shall enter the preferred repair facility on the estimate assignment.',enter the preferred repair facility on the estimate assignment,yes,,yes,,allow the adjuster to enter the preferred repair facility on the estimate assignment
S0247,NICE,'The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.',override the preferred repair facitlity on the estimate assignment,yes,,yes,,allow the adjuster to override the preferred repair facility on the estimate assignment
S0248,NICE,'The preferred repair facility shall be returned to the user.',be returned to the user,yes,,yes,,return the preferred repair facility to the user
S0250,NICE,'The estimator shall search for available recycled parts using damaged vehicle parts information.',search for available recycled parts using damaged vehicle parts information,yes,,yes,,search for available recycled parts using damaged vehicle parts information
S0251,NICE,'The estimator shall search for available recycled parts using a list of preferred parts suppliers.',search for available recycled parts using a list of preferred parts suppliers,yes,,yes,,search for available recycled parts using a list of preferred parts suppliers
S0252,NICE,'The system shall search for available recycled parts for the supplied vehicle parts and suppliers.',search for available recycled parts for the supplied vehicle parts and suppliers,yes,,yes,,search for available recycled parts for the supplied vehicle parts and suppliers
S0254,NICE,'The system shall retain the available recycled parts and suppliers returned from the search.',retain the available recycled parts and suppliers returned from the search,yes,,yes,,retain the available recycled parts and suppliers returned from the search
S0255,NICE,'The available recycled parts information and their suppliers shall be returned to the user.',be returned to the user,yes,,yes,,return available recycled parts information and supplier information to the user
S0256,NICE,'The estimator shall apply selected recycled parts to the collision estimate.',apply selected recycled parts to the collision estimate,yes,,yes,,apply selected recycled parts to the collision estimate
S0258,NICE,'The adjuster shall review the collision estimate.',review the collision estimate,yes,,yes,,support adjuster review of the collision estimate
S0259,NICE,'The adjuster shall request a recycled parts audit of the collision estimate.',request a recycled parts audit of the collision estimate,yes,,yes,,allow the adjuster to request a recycled parts audit of the collision estimate
S0260,NICE,'The recycled parts search results provided to the estimator shall be retrieved by the system.',be retrieved by the system,yes,,yes,,retrieve the recycled parts search results provided to the estimator
