seed_id,source_dataset,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0025,NICE,'The system shall display the local and exercise time in separate clocks',display the local and exercise time in separate clocks,yes,,yes,,display the local and exercise time in separate clocks
S0026,NICE,'The system shall offer the ability to pause and resume the refresh of data.',offer the ability to pause and resume the refresh of data,yes,,yes,,offer the ability to pause and resume the refresh of data
S0027,NICE,'The system shall provide charts for the Activity or Event actual versus assumed time.',provide charts for the Activity or Event actual versus assumed time,yes,,yes,,provide charts for the Activity or Event actual versus assumed time
S0028,NICE,'The system shall provide a history report of changes made to the Activity or Event data',provide a history report of changes made to the Activity or Event data,yes,,yes,,provide a history report of changes made to the Activity or Event data
S0029,NICE,'The look and feel of the system shall conform to the user interface standards of the smart device.',conform to the user interface standards of the smart device,yes,,yes,,conform to the smart device user interface standards in look and feel
S0030,NICE,'The user interface shall have standard menus buttons for navigation',have standard menus buttons for navigation,yes,,yes,,provide standard menu buttons for navigation
S0031,NICE,'The system shall have a professional appearance',have a professional appearance,yes,,yes,,have a professional appearance
S0032,NICE,'The product shall have a consistent color scheme and fonts.',have a consistent color scheme and fonts,yes,,yes,,have a consistent color scheme and fonts
S0033,NICE,'The system shall be used by realtors with no training.',be used by realtors with no training,no,negation,no,negation,
S0034,NICE,'The system shall be intuitive and self explanatory.',be intuitive and self explanatory,yes,,yes,,be intuitive and self explanatory
S0035,NICE,'The product shall be easy for a realtor to learn.',be easy for a realtor to learn,yes,,yes,,be easy for a realtor to learn
S0036,NICE,'The product shall use symbols and words that are naturally understandable by the realtor community.',use symbols and words that are naturally understandable by the realtor community,yes,,yes,,use symbols and words that are naturally understandable by the realtor community
S0037,NICE,'The product shall produce search results in an acceptable time',produce search results in an acceptable time,yes,,yes,,produce search results in an acceptable time
S0038,NICE,'The search results shall be returned no later 30 seconds after the user has entered the search criteria',be returned no later 30 seconds after the user has entered the search criteria,no,negation,no,negation,
S0039,NICE,'The product shall generate a CMA report in an acceptable time.',generate a CMA report in an acceptable time,yes,,yes,,generate a CMA report in an acceptable time
S0040,NICE,'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',be returned no later 60 seconds after the user has entered the CMA report criteria,no,negation,no,negation,
S0041,NICE,'The product shall synchronize contacts and appointments in an acceptable time.',synchronize contacts and appointments in an acceptable time,yes,,yes,,synchronize contacts and appointments in an acceptable time
S0042,NICE,'The product shall synchronize with the office system every hour.',synchronize with the office system every hour,yes,,yes,,synchronize with the office system every hour
S0043,NICE,'The product shall be available for use 24 hours per day 365 days per year',be available for use 24 hours per day 365 days per year,yes,,yes,,be available for use 24 hours per day 365 days per year
S0044,NICE,'Out of 1000 accesses to the system the system is available 999 times.',out of 1000 accesses to the system the system is available 999 times,yes,,yes,,be available for 999 out of 1000 access attempts
S0045,NICE,'The product shall operate in offline mode whenever internet connection is unavailable.',operate in offline mode whenever internet connection is unavailable,yes,,yes,,operate in offline mode whenever internet connection is unavailable
S0046,NICE,'The product shall allow the user to view previously downloaded search results CMA reports and appointments.',allow the user to view previously downloaded search results CMA reports and appointments,yes,,yes,,"allow the user to view previously downloaded search results, CMA reports, and appointments"
S0047,NICE,'The product shall retain user preferences in the event of a failure.',retain user preferences in the event of a failure,yes,,yes,,retain user preferences in the event of a failure
S0048,NICE,'100% of saved user preferences shall be restored when system comes back online.',% of saved user preferences shall be restored when system comes back online,no,formula_or_symbol;residual_modal_in_capability,no,formula_or_symbol;residual_modal_in_capability,
S0049,NICE,'The product shall be able to support multiple remote users',support multiple remote users,yes,,yes,,support multiple remote users
S0050,NICE,'The product shall be able support 1000 simultaneous users.',be able support 1000 simultaneous users,yes,,yes,,support 1000 simultaneous users
S0051,NICE,'The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.',be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year,no,multi_sentence,no,multi_sentence,
S0052,NICE,'The product shall be installed by an untrained realtor without recourse to separately-printed instructions.',be installed by an untrained realtor without recourse to separately-printed instructions,no,negation,no,negation,
S0053,NICE,'90% of untrained realtors shall be able to install the product on their device without printed instructions',% of untrained realtors shall be able to install the product on their device without printed instructions,no,negation;formula_or_symbol;residual_modal_in_capability,no,negation;formula_or_symbol;residual_modal_in_capability,
S0054,NICE,'The product is expected to run on Windows CE and Palm operating systems.',run on Windows CE and Palm operating systems,yes,,yes,,run on Windows CE and Palm operating systems
S0055,NICE,'Only registered realtors shall be able to access the system.',access the system,yes,,yes,,allow only registered realtors to access the system
S0056,NICE,'Every user of the system shall be authenticated and authorized.',be authenticated and authorized,yes,,yes,,authenticate and authorize every system user
S0057,NICE,'The product shall prevent its data from incorrect data being introduced.',prevent its data from incorrect data being introduced,yes,,yes,,prevent incorrect data from being introduced into product data
S0058,NICE,'The system shall allow a real estate agent to query MLS information',allow a real estate agent to query MLS information,yes,,yes,,allow a real estate agent to query MLS information
S0059,NICE,'The user shall be able to get driving directions to a selected property',get driving directions to a selected property,yes,,yes,,provide users with driving directions to a selected property
S0060,NICE,'The user shall be able to download appointments and contact information for clients',download appointments and contact information for clients,yes,,yes,,allow users to download appointments and client contact information
S0061,NICE,'The system shall display clear property images in the search results',display clear property images in the search results,yes,,yes,,display clear property images in the search results
S0062,NICE,'The system shall update or create new property listings in the MLS',update or create new property listings in the MLS,yes,,yes,,update or create new property listings in the MLS
S0063,NICE,'Realtor shall be able to generate a CMA report based on property criteria',generate a CMA report based on property criteria,yes,,yes,,allow realtors to generate CMA reports based on property criteria
S0064,NICE,'The system shall be able to call the seller or buyer to schedule an appointment',call the seller or buyer to schedule an appointment,yes,,yes,,call the seller or buyer to schedule an appointment
S0065,NICE,'The realtor shall be notified of new client appointments after automatic synchronization with office system',be notified of new client appointments after automatic synchronization with office system,yes,,yes,,notify realtors of new client appointments after automatic synchronization with the office system
S0066,NICE,'The realtor shall be able to retrieve a map showing property locations for a specified area',retrieve a map showing property locations for a specified area,yes,,yes,,allow realtors to retrieve maps showing property locations for a specified area
S0067,NICE,'The system shall notify the realtor when a seller or buyer responds to an appointment request',notify the realtor when a seller or buyer responds to an appointment request,yes,,yes,,notify the realtor when a seller or buyer responds to an appointment request
S0068,NICE,'The product shall allow the user to save the property search results.',allow the user to save the property search results,yes,,yes,,allow the user to save the property search results
S0069,NICE,'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',be easy to use by the Program Administrators/Nursing Staff Members,yes,,yes,,be easy to use by the Program Administrators/Nursing Staff Members
S0070,NICE,'All of the users shall be able to use the system after one day of training.',use the system after one day of training,yes,,yes,,be usable by all users after one day of training
S0071,NICE,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',help the user avoid making mistakes while scheduling classes and clinicals for the nursing students,yes,,yes,,help the user avoid making mistakes while scheduling classes and clinicals for the nursing students
S0072,NICE,'The number of mistakes noted by the students shall be decreased by 50% in the first year.',be decreased by 50% in the first year,no,formula_or_symbol,no,formula_or_symbol,
S0073,NICE,'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',be intuitive to the Program Administrators/Nursing Staff Members,yes,,yes,,be intuitive to the Program Administrators/Nursing Staff Members
S0074,NICE,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',successfully be able to use the system to manage the scheduling of classes and clinicals,no,residual_modal_in_capability,yes,,enable 2 out of 3 Program Administrators/Nursing Staff Members to successfully manage scheduling of classes and clinicals
S0075,NICE,'The system shall use symbols and words that are naturally understandable by the user community.',use symbols and words that are naturally understandable by the user community,yes,,yes,,use symbols and words that are naturally understandable by the user community
S0076,NICE,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',be consistent with Standard English and the terminology of the national Nursing Community,yes,,yes,,use Standard English and national Nursing Community terminology consistently
S0077,NICE,'Staff members shall be able to complete a set of tasks in a timely manner.',complete a set of tasks in a timely manner,yes,,yes,,enable staff members to complete a set of tasks in a timely manner
S0078,NICE,'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds,no,negation;residual_modal_in_capability,no,negation;residual_modal_in_capability,
S0079,NICE,'The system shall be available for use between the hours of 8am and 6pm.',be available for use between the hours of 8am and 6pm,yes,,yes,,be available for use between the hours of 8am and 6pm
S0080,NICE,'The system shall achieve 95% up time.',achieve 95% up time,no,formula_or_symbol,no,formula_or_symbol,
S0081,NICE,'system shall be able to handle all of the user requests/usage during business hours.',handle all of the user requests/usage during business hours,yes,,yes,,handle all of the user requests/usage during business hours
S0082,NICE,'The system shall cater to 10 simultaneous users from 9am to 5pm.',cater to 10 simultaneous users from 9am to 5pm,yes,,yes,,cater to 10 simultaneous users from 9am to 5pm
S0083,NICE,'The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.',be capable of processing 100% of nursing students and their classes for the next 10 years,no,formula_or_symbol,no,formula_or_symbol,
S0084,NICE,'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.',be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years,yes,,yes,,manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years
S0085,NICE,'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',operate within a business office environment typical of the Nursing Department at DePaul University,yes,,yes,,operate within a business office environment typical of the Nursing Department at DePaul University
S0086,NICE,'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members,yes,,yes,,be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members
S0087,NICE,'The system shall operate within the Windows XP Professional operating system.',operate within the Windows XP Professional operating system,yes,,yes,,operate within the Windows XP Professional operating system
S0088,NICE,The system shall interface with CampusConnect's central server',interface with CampusConnect's central server,yes,,yes,,interface with CampusConnect's central server
S0089,NICE,'The system shall interface with the faculty central server.',interface with the faculty central server,yes,,yes,,interface with the faculty central server
S0090,NICE,'The system shall interface with the student master server.',interface with the student master server,yes,,yes,,interface with the student master server
S0091,NICE,'We must be able to interface with any HTML browser.',interface with any HTML browser,yes,,yes,,interface with any HTML browser
S0092,NICE,'Only authorized users shall have access to clinical site information.',have access to clinical site information,yes,,yes,,restrict access to clinical site information to authorized users
S0093,NICE,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',have access to clinical site details,yes,,yes,,restrict access to clinical site details to Program Administrators and Nursing Staff Members
S0094,NICE,Only authorized users shall have access to students' personal information.',have access to students' personal information,yes,,yes,,restrict access to students' personal information to authorized users
S0095,NICE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.',have access to students' personal information,yes,,yes,,restrict access to students' personal information to Dr Susan Poslusny and Dr Julie Donalek
S0096,NICE,'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',have access to the portion of the system that interfaces with CampusConnect,yes,,yes,,restrict access to the CampusConnect interface portion of the system to authorized users
S0097,NICE,'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect,no,residual_modal_in_capability,yes,,restrict access to final class section scheduling for the CampusConnect interface to Dr Susan Poslusny and Karen Sysol
S0098,NICE,'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,yes,,yes,,have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced
S0099,NICE,The system shall protect private information in accordance with the organization's information policy.',protect private information in accordance with the organization's information policy,yes,,yes,,protect private information in accordance with the organization's information policy
S0100,NICE,'The system shall be built such that it is as secure as possible from malicious interference.',be built such that it is as secure as possible from malicious interference,yes,,yes,,be built such that it is as secure as possible from malicious interference
S0101,NICE,The system shall use the organization's standard virus protection software to help monitor threats to itself.',use the organization's standard virus protection software to help monitor threats to itself,yes,,yes,,use the organization's standard virus protection software to help monitor threats to itself
S0102,NICE,'A cohort shall be associated to one Program of Study offered by the department.',be associated to one Program of Study offered by the department,yes,,yes,,associate each cohort with one Program of Study offered by the department
S0103,NICE,'Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.',add a listing of students to a cohort,yes,,yes,,allow Program Administrators and Nursing Staff Members to add student listings to cohorts
S0104,NICE,'Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort',add a single student to a cohort,yes,,yes,,allow Program Administrators and Nursing Staff Members to add single students to cohorts
S0105,NICE,Students added to a cohort shall be eligible for the cohort's Program of Study.',be eligible for the cohort's Program of Study,yes,,yes,,ensure students added to a cohort are eligible for the cohort Program of Study
S0106,NICE,'Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.',specify the preferred sequence of classes for a given cohort,yes,,yes,,allow Program Administrators and Nursing Staff Members to specify the preferred class sequence for a cohort
S0107,NICE,'For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',specify which quarter that class will be offered,no,residual_modal_in_capability,yes,,allow Program Administrators and Nursing Staff Members to specify the offering quarter for each class in a cohort sequence
S0108,NICE,'Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes',add new classes to a sequence of classes,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new classes to class sequences
S0109,NICE,'Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes',add clinical classes or sections to a sequence of classes,no,possibly_multiple_capabilities,no,possibly_multiple_capabilities,
S0110,NICE,'Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.',add a new cohort to the system identified by start month and year,no,possibly_multiple_capabilities,no,possibly_multiple_capabilities,
S0111,NICE,'Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.',add new classes for the nursing department into the system,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new nursing department classes to the system
S0112,NICE,'A class shall be either a non-clinical class or a clinical class.',be either a non-clinical class or a clinical class,yes,,yes,,classify each class as either non-clinical or clinical
S0113,NICE,'A non-clinical class shall specify the course name lecture room requirements and instructor needs.',specify the course name lecture room requirements and instructor needs,yes,,yes,,capture course name lecture room requirements and instructor needs for non-clinical classes
S0114,NICE,'A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.',specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs,yes,,yes,,capture course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs for clinical classes
S0115,NICE,'Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.',create a new Program of Study,yes,,yes,,allow Program Administrators and Nursing Staff Members to create Programs of Study
S0116,NICE,'A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.',consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed,no,possibly_multiple_capabilities;residual_modal_in_capability,no,possibly_multiple_capabilities;residual_modal_in_capability,
S0117,NICE,'Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study',have the ability to specify which classes are required for a Program of Study,yes,,yes,,allow Program Administrators and Nursing Staff Members to specify required classes for a Program of Study
S0118,NICE,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.',display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes,yes,,yes,,display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes
S0119,NICE,'The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.',include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed,no,negation,no,negation,
S0120,NICE,'Classes for a given cohort shall not conflict with regards to the time and day that they are offered.',not conflict with regards to the time and day that they are offered,no,negation,no,negation,
S0121,NICE,'Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.',add a new clinical site into the system,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new clinical sites to the system
S0122,NICE,'Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.',include (but not be limited to) the name of the site contact person and contact information,no,negation,no,negation,
S0123,NICE,'Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.',add a new clinical lab section for an existing clinical class into the System,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new clinical lab sections for existing clinical classes
S0124,NICE,'A clinical lab section shall include the clinical site name the class instructor day and time of the lab.',include the clinical site name the class instructor day and time of the lab,yes,,yes,,include the clinical site name class instructor day and lab time for each clinical lab section
S0125,NICE,'Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.',add a student who has registered for a clinical class to a clinical lab section for that class,yes,,yes,,allow Program Administrators and Nursing Staff Members to add registered clinical-class students to clinical lab sections
S0126,NICE,'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section,yes,,yes,,allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section
S0127,NICE,'The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.',allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class,yes,,yes,,allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class
S0128,NICE,'Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.',cancel a clinical lab section only if there are no students registered for that clinical lab section,no,negation,no,negation,
S0129,NICE,'A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.',add a new nursing student to the system,yes,,yes,,allow Program Administrators and Nursing Staff Members to add new nursing students to the system
S0130,NICE,'A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.',have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes,yes,,yes,,allow staff members to manage part-time student progress by modifying class sequences and timelines
S0131,NICE,'The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.',display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion,no,residual_modal_in_capability,no,residual_modal_in_capability,
S0132,NICE,'The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).',display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there),no,too_long;residual_modal_in_capability,no,too_long;residual_modal_in_capability,
S0133,NICE,'The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.',display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location,no,too_long;negation;residual_modal_in_capability,no,too_long;negation;residual_modal_in_capability,
S0134,NICE,'The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.',display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in,no,too_long;negation;residual_modal_in_capability,no,too_long;negation;residual_modal_in_capability,
S0135,NICE,'The system shall be able to display a printable summary of the system log.',display a printable summary of the system log,yes,,yes,,display a printable summary of the system log
S0136,NICE,'The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.',contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators,no,negation;possibly_multiple_capabilities,no,negation;possibly_multiple_capabilities,
S0137,NICE,'The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.',use the stored e-mail addresses as a primary means of communicating information to affected parties,yes,,yes,,use the stored e-mail addresses as a primary means of communicating information to affected parties
S0138,NICE,'The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.',notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be,no,negation;residual_modal_in_capability,no,negation;residual_modal_in_capability,
S0139,NICE,'The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.',notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations,no,negation,no,negation,
S0140,NICE,'The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.',notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter,no,negation,no,negation,
S0141,NICE,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness).',notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness),no,too_long;negation,no,too_long;negation,
S0142,NICE,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.',notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section,no,too_long;negation,no,too_long;negation,
S0143,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.',have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes,no,residual_modal_in_capability,yes,,allow Program Administrators and Nursing Staff Members to modify cohort information including identifier Program of Study preferred class sequence and class quarters
S0144,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.',have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study,no,too_long,no,too_long,
S0145,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.',have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address,yes,,yes,,allow Program Administrators and Nursing Staff Members to modify clinical site information including name contact person contact information and address
S0146,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.',have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information,no,too_long;possibly_multiple_capabilities,no,too_long;possibly_multiple_capabilities,
S0147,NICE,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.',have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study,no,possibly_multiple_capabilities,no,possibly_multiple_capabilities,
S0148,NICE,'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.',comply with the corporate standards for user interface creation for internally and externally used applications,yes,,yes,,comply with corporate user interface creation standards for internal and external applications
